crash_date,number_of_crashes,number_of_persons_injured,number_of_persons_killed,siniestros_media_movil,Lastimados_media_movil,Muertos_media_movil,week_day
2016-04-23T00:00:00.000+0000,649,210,0,607.4957983193161,168.7198577544193,0.7095970463657024,saturday
2016-04-24T00:00:00.000+0000,448,137,0,606.8289428979023,167.88883100409652,0.724546422342508,sunday
2016-04-25T00:00:00.000+0000,488,137,0,603.424403723742,165.72853292259984,0.7056105461052209,monday
2016-04-26T00:00:00.000+0000,479,141,0,606.7488051824387,164.89062039909984,0.711612947065605,tuesday
2016-04-27T00:00:00.000+0000,510,143,1,611.3722621123804,165.82269134068406,0.6835035901152784,wednesday
2016-04-28T00:00:00.000+0000,489,104,0,610.4964551858363,166.83897710027088,0.6801060046660041,thursday
2016-04-29T00:00:00.000+0000,517,133,0,608.055743051926,167.36365489591745,0.6423701556094011,friday
2016-04-30T00:00:00.000+0000,581,193,1,607.8762372873562,168.55663774943616,0.6615325375433065,saturday
2016-05-01T00:00:00.000+0000,484,170,2,607.9715961856324,169.57949217422495,0.6521325511336485,sunday
2016-05-02T00:00:00.000+0000,589,130,1,606.8185915875669,168.90788013318212,0.6732202314888089,monday
2016-05-03T00:00:00.000+0000,711,168,0,610.162110127058,167.99220820403312,0.6983850143830984,tuesday
2016-05-04T00:00:00.000+0000,653,169,1,617.1758590228427,168.76024372012637,0.6688033704047528,wednesday
2016-05-05T00:00:00.000+0000,626,154,0,622.179166006013,170.2083399397462,0.6965729688101522,thursday
2016-05-06T00:00:00.000+0000,728,174,2,616.2367664046633,170.66400144963316,0.6638202450791512,friday
2016-05-07T00:00:00.000+0000,571,172,0,613.9338150354364,170.23513556365614,0.6560057985458209,saturday
2016-05-08T00:00:00.000+0000,591,200,1,615.1205916328677,170.27137647511506,0.6731296292101617,sunday
2016-05-09T00:00:00.000+0000,646,183,2,617.819633513771,171.50918480599458,0.6563682076604102,monday
2016-05-10T00:00:00.000+0000,608,151,2,622.4073704953561,170.96754173367134,0.7295974993770953,tuesday
2016-05-11T00:00:00.000+0000,699,193,0,633.5682574916638,172.14072798930567,0.7221228113886926,wednesday
2016-05-12T00:00:00.000+0000,744,197,0,634.7850687444667,172.18231443520477,0.687218283539818,thursday
2016-05-13T00:00:00.000+0000,766,182,0,634.6502752044092,172.9491494711059,0.6570703753199267,friday
2016-05-14T00:00:00.000+0000,589,184,2,636.9191601168646,173.64468051371156,0.658089650954709,saturday
2016-05-15T00:00:00.000+0000,510,152,0,643.6646356655747,177.01050986431972,0.6520872499943249,sunday
2016-05-16T00:00:00.000+0000,742,209,1,646.5521076354945,177.829509162152,0.6830279281523799,monday
2016-05-17T00:00:00.000+0000,624,167,1,656.9008131554384,180.31810460032725,0.6121769462501864,tuesday
2016-05-18T00:00:00.000+0000,676,147,0,668.6744433622376,182.2834039276053,0.6044531019955035,wednesday
2016-05-19T00:00:00.000+0000,694,191,0,676.199596819847,185.92201408865074,0.5415298194749495,thursday
2016-05-20T00:00:00.000+0000,782,229,1,675.433690457302,187.4172008425976,0.5674647217377408,friday
2016-05-21T00:00:00.000+0000,568,210,0,674.6816688939597,188.47647738340257,0.5850189132256565,saturday
2016-05-22T00:00:00.000+0000,571,181,1,674.574418446611,189.75677818296765,0.5409182540940801,sunday
2016-05-23T00:00:00.000+0000,652,173,0,673.1166730843154,189.21402523273096,0.5585856984303048,monday
2016-05-24T00:00:00.000+0000,695,178,1,671.9390473170271,187.50103060091598,0.5199211760175669,tuesday
2016-05-25T00:00:00.000+0000,733,174,0,674.6606944664529,186.20299440530573,0.4036105008040876,wednesday
2016-05-26T00:00:00.000+0000,742,158,1,673.0759700106328,187.40351989852184,0.4447212847403028,thursday
2016-05-27T00:00:00.000+0000,767,213,0,670.0324809168823,188.53967247275907,0.5460146322679911,friday
2016-05-28T00:00:00.000+0000,627,223,1,667.5337380234986,188.11259598178535,0.6164805544859334,saturday
2016-05-29T00:00:00.000+0000,566,205,1,671.8462479331226,189.5291399578663,0.6505696618269825,sunday
2016-05-30T00:00:00.000+0000,471,141,0,669.880110534767,188.41056422568667,0.6806949194772118,monday
2016-05-31T00:00:00.000+0000,760,194,1,670.9910756755404,187.69920043488736,0.6802192575143134,tuesday
2016-06-01T00:00:00.000+0000,772,196,0,678.0271580330116,186.51267299372222,0.7670162404584329,wednesday
2016-06-02T00:00:00.000+0000,683,180,0,676.15719495344,186.96228680150946,0.7910258442999689,thursday
2016-06-03T00:00:00.000+0000,710,171,0,675.7317266529124,188.324673265529,0.8112981041473037,friday
2016-06-04T00:00:00.000+0000,635,204,0,676.2682959976314,189.49240073387483,0.8660218804502766,saturday
2016-06-05T00:00:00.000+0000,466,143,1,673.47869713922,189.17101180094318,0.9287866089831981,sunday
2016-06-06T00:00:00.000+0000,758,220,1,673.9283562481468,189.07295748487715,0.8817187252259225,monday
2016-06-07T00:00:00.000+0000,709,207,2,681.196108632119,190.62830415184575,0.8688758522276667,tuesday
2016-06-08T00:00:00.000+0000,763,220,0,692.1863462365947,190.6360506466701,0.8573920134091209,wednesday
2016-06-09T00:00:00.000+0000,686,140,0,695.6281229472788,190.61330947472962,0.9649142675938115,thursday
2016-06-10T00:00:00.000+0000,818,244,2,690.3334843371179,189.0320505560679,1.0089696255860643,friday
2016-06-11T00:00:00.000+0000,584,175,3,691.1113502004443,190.63840630591494,1.0752451924165687,saturday
2016-06-12T00:00:00.000+0000,587,205,1,690.5733085686973,191.11230152437966,1.0574191940927111,sunday
2016-06-13T00:00:00.000+0000,646,169,3,690.8172325533856,190.57731771953704,1.0731386894380188,monday
2016-06-14T00:00:00.000+0000,717,166,0,694.3842669142996,190.51776937189604,1.1106253822283416,tuesday
2016-06-15T00:00:00.000+0000,739,171,0,699.7302317153142,191.2676391311205,1.1432422025413718,wednesday
2016-06-16T00:00:00.000+0000,689,157,2,695.0308047747266,191.1778296224113,1.1443520804548015,thursday
2016-06-17T00:00:00.000+0000,748,215,1,688.465627760525,191.69960814514118,1.1727785453803938,friday
2016-06-18T00:00:00.000+0000,700,211,2,685.4508369385359,191.33296337402518,1.1961086321320753,saturday
2016-06-19T00:00:00.000+0000,559,220,5,679.8806994495781,190.3284106095232,1.2409794106321534,sunday
