1658,,199,1658,1459
199,,,,
199,,,,
199,,,,
199,,,,
199,,,,
199,,,,
560,,,,
560,,,,
560,,,,
560,,,,
560,,,,
560,,,,
560,,,,
560,,,,
560,,,,
560,,,,
498,,,,
498,,,,
498,,,,
498,,,,
498,,,,
498,,,,
498,,,,
498,,,,
515,,,,
515,,,,
515,,,,
515,,,,
515,,,,
515,,,,
515,,,,
515,,,,
515,,,,
515,,,,
1456,,,,
354,,,,
456,,,,
598,,,,
413,,,,
353,,,,
438,,,,
570,,,,
507,,,,
579,,,,
364,,,,
518,,,,
485,,,,
529,,,,
547,,,,
374,,,,
625,,,,
414,,,,
442,,,,
373,,,,
421,,,,
519,,,,
407,,,,
389,,,,
563,,,,
387,,,,
387,,,,
510,,,,
354,,,,
502,,,,
483,,,,
454,,,,
358,,,,
437,,,,
413,,,,
562,,,,
435,,,,
422,,,,
643,,,,
508,,,,
550,,,,
530,,,,
461,,,,
